ID, Similarity, Correctness, Validity, Time Complexity Generated, Time Complexity Canonical, Space Complexity Generated, Space Complexity Canonical,security_rating,bugs,code_smells
74,No matches were found in submission.,0.8888888888888888,1,O(n),O(n),O(n),O(n),1.0,0,0
75,No matches were found in submission.,0.5,1,O(n),O(n^3),O(1),O(1),1.0,0,0
76,No matches were found in submission.,0.5,1,O(1),O(logx),O(1),,1.0,0,0
77,No matches were found in submission.,0.375,1,O(1),O(1),O(1),O(1),1.0,0,0
78,No matches were found in submission.,1.0,1,O(n),O(n),O(1),O(1),1.0,0,0
79,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
80,No matches were found in submission.,0.625,1,O(n),O(n),O(1),O(1),1.0,0,0
81,No matches were found in submission.,0.3333333333333333,1,O(n),O(n),O(n),O(n),1.0,0,0
82,No matches were found in submission.,0.8125,1,O(n),O(n),O(1),O(1),1.0,0,0
83,No matches were found in submission.,0.2,1,O(1),O(n),O(1),O(1),1.0,0,0
84,No matches were found in submission.,0.0,1,O(n),O(n),O(n),O(1),1.0,0,1
85,No matches were found in submission.,0.5,1,O(n),O(n),O(1),O(1),1.0,0,0
86,No matches were found in submission.,0.42857142857142855,1,O(n),O(n),O(n),O(n),1.0,0,0
87,No matches were found in submission.,0.6666666666666666,1,O(n),O(n^2),O(n),O(n^2),1.0,0,0
88,No matches were found in submission., -1,0,O(n),O(n log n),O(n),O(n),1.0,0,0
89,No matches were found in submission.,0.0,1,O(n),O(n),O(n),O(n),1.0,0,0
90,No matches were found in submission.,0.7142857142857143,1,O(n log n),O(nlogn),O(n),O(1),1.0,0,0
91,No matches were found in submission.,0.16666666666666666,1,O(n),O(n),O(1),O(n),1.0,0,1
92,No matches were found in submission.,0.8,1,O(1),O(1),O(1),O(1),1.0,0,0
93,No matches were found in submission.,0.0,1,O(n),O(n),O(1),O(n),1.0,0,0
94,No matches were found in submission.,0.2222222222222222,1,O(n),O(n),O(n),O(1),1.0,0,0
95,No matches were found in submission.,0.8571428571428571,1,O(n),O(n),O(1),O(1),1.0,0,0
96,No matches were found in submission.,1.0,1,O(n),O(n^2),O(n),O(n),1.0,0,0
97,No matches were found in submission.,0.25,1,O(n),O(n),O(1),O(1),1.0,0,0
98,No matches were found in submission.,0.5714285714285714,1,O(n),O(n),O(1),O(1),1.0,0,0
99,No matches were found in submission., -1,0,O(1),O(1),O(1),O(1),1.0,0,0
100,No matches were found in submission., -1,0,O(n),O(n),O(n),O(n),1.0,0,0
101,No matches were found in submission.,0.16666666666666666,1,O(n),O(n),O(n),O(n),1.0,0,0
102,No matches were found in submission.,0.5,1,O(1),O(log(n),O(1),O(1),1.0,0,0
103,No matches were found in submission.,0.16666666666666666,1,O(1),O(log(m-n+1),O(1),O(1),1.0,0,0
104,No matches were found in submission.,0.25,1,O(n),O(n),O(n),O(n),1.0,0,0
105,No matches were found in submission.,0.2,1,O(n),O(n),O(n),O(n),1.0,0,0
106,No matches were found in submission.,0.5,1,O(n),O(n),O(n),O(n),1.0,0,0
107,No matches were found in submission.,1.0,1,O(n),O(n),O(1),O(1),1.0,0,0
108,No matches were found in submission., -1,0,O(n),O(n),O(1),O(n),1.0,0,0
109,No matches were found in submission.,0.6,1,O(n),O(n),O(1),O(n),1.0,0,0
110,No matches were found in submission.,0.5714285714285714,1,O(n),O(n),O(1),O(1),1.0,0,0
111,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
112,No matches were found in submission.,0.1111111111111111,1,O(n),O(n),O(n),O(n),1.0,1,0
113,No matches were found in submission.,0.0,1,O(n),O(n),O(n),O(n),1.0,0,0
114,No matches were found in submission.,0.3333333333333333,1,O(n),O(n),O(1),O(1),1.0,0,1
115,No matches were found in submission.,0.0,1,O(n^2),O(n*m*capacity),O(n),O(n*m),1.0,0,0
116,No matches were found in submission.,1.0,1,O(n log n),O(n log n),O(n),O(n),1.0,0,0
117,No matches were found in submission.,0.8571428571428571,1,O(n),O(n),O(n),O(n),1.0,0,0
118,No matches were found in submission.,0.3076923076923077,1,O(n),O(n),O(1),O(1),1.0,0,0
119,No matches were found in submission.,0.3333333333333333,1,O(n),O(N),O(n),O(N),1.0,0,0
120,No matches were found in submission.,0.36363636363636365,1,O(n log n),O(nlogn),O(n),O(n),1.0,0,0
121,No matches were found in submission.,1.0,1,O(n),O(n),O(1),O(1),1.0,0,0
122,No matches were found in submission.,1.0,1,O(n),O(n),O(1),O(1),1.0,0,0
123,No matches were found in submission., -1,0,O(n),O(n),O(n),O(n),1.0,0,0
124,No matches were found in submission.,1.0,1,O(1),O(1),O(1),O(1),1.0,0,2
125,No matches were found in submission.,0.375,1,O(n),O(n),O(n),O(n),1.0,0,0
126,No matches were found in submission.,0.8461538461538461,1,O(n),O(n),O(n),O(n),1.0,0,0
127,No matches were found in submission.,0.375,1,O(1),O(n),O(1),O(1),1.0,0,0
128,No matches were found in submission.,0.125,1,O(n),O(n),O(1),O(1),1.0,0,0
129,No matches were found in submission.,0.0,1,O(N^2 * k),O(n^2),O(N^2 * k),O(N^2),1.0,0,2
130,No matches were found in submission.,0.1,1,O(n),O(n),O(n),O(n),1.0,0,0
131,No matches were found in submission.,0.8571428571428571,1,O(n),O(n),O(1),O(1),1.0,0,1
132,No matches were found in submission.,0.7142857142857143,1,O(n),O(n),O(n),O(n),1.0,0,0
133,No matches were found in submission.,0.6666666666666666,1,O(n),O(n),O(n),O(1),1.0,0,0
134,No matches were found in submission., -1,0,O(n),O(n),O(1),O(1),1.0,0,0
135,No matches were found in submission.,0.4,1,O(nlogn),O(n),O(1),O(1),1.0,0,0
136,No matches were found in submission., -1,0,O(n),O(n),O(n),O(n),1.0,0,0
137,No matches were found in submission., -1,0,O(1),O(n),O(1),O(1),1.0,0,0
138,No matches were found in submission.,0.5,1,O(1),O(1),O(1),O(1),1.0,0,0
139,No matches were found in submission.,0.25,1,O(n),O(n),O(n),O(1),1.0,0,0
140,No matches were found in submission.,0.6,1,O(n),O(n),O(n),O(n),1.0,0,0
141,No matches were found in submission.,0.7307692307692307,1,O(1),O(n),O(1),O(1),1.0,0,0
142,No matches were found in submission.,0.2727272727272727,1,O(n),O(n),O(1),O(n),1.0,0,0
143,No matches were found in submission.,0.7142857142857143,1,O(n),O(n),O(n),O(n),1.0,0,0
144,No matches were found in submission.,0.3333333333333333,1,O(1),O(n),O(1),O(1),1.0,0,0
145,No matches were found in submission., -1,0,O(n log n),O(nlogn),O(n),O(n),1.0,0,0
146,No matches were found in submission.,0.5714285714285714,1,O(n),O(n),O(1),O(1),1.0,0,1
147,No matches were found in submission.,0.5,1,O(n^2),O(n^3),O(1),O(1),1.0,0,0
148,No matches were found in submission.,0.2857142857142857,1,O(n),O(n),O(n),O(n),1.0,0,1
149,No matches were found in submission.,0.14285714285714285,1,O(n log n),O(n^2),O(n),O(n),1.0,0,0
150,No matches were found in submission.,0.9,1,O(n),O(n),O(1),O(1),1.0,0,0
151,No matches were found in submission.,0.42857142857142855,1,O(n),O(n),O(n),O(1),1.0,0,0
152,No matches were found in submission.,1.0,1,,O(n),,O(n),1.0,0,0
153,No matches were found in submission.,0.2222222222222222,1,O(n log n),O(n),O(n),O(n),1.0,0,1
154,No matches were found in submission.,0.5,1,O(n),O(n),O(1),O(1),1.0,0,0
155,No matches were found in submission., -1,0,O(n),O(n),O(1),O(1),1.0,0,0
156,No matches were found in submission.,0.07142857142857142,1,O(n),O(n),O(1),O(1),1.0,0,0
157,No matches were found in submission.,0.9090909090909091,1,O(1),O(1),O(1),O(1),1.0,0,0
158,No matches were found in submission.,0.5,1,O(n),O(NlogN),O(n),O(N),1.0,0,0
159,No matches were found in submission.,0.6666666666666666,1,O(1),O(n),O(1),O(1),1.0,0,0
160,No matches were found in submission.,0.6666666666666666,1,O(n),O(n),O(1),O(n),1.0,0,0
161,No matches were found in submission.,0.75,1,O(n),O(n),O(n),O(n),1.0,0,0
162,No matches were found in submission.,0.75,1,O(n),O(n),O(n),O(n),1.0,0,0
163,No matches were found in submission.,0.0,1,O(n),O(1),O(n),O(1),1.0,0,0
